(dqn) (base) root@Abhishek:/home/RL/ass2/p3/p3.2# /root/anaconda3/envs/dqn/bin/python /home/RL/ass2/p2/qlearn_taxiv3.py
Episode 100 Avg reward -549.67
Episode 200 Avg reward -276.73
Episode 300 Avg reward -209.5
Episode 400 Avg reward -153.32
Episode 500 Avg reward -134.03
Episode 600 Avg reward -120.63
Episode 700 Avg reward -106.96
Episode 800 Avg reward -82.23
Episode 900 Avg reward -78.38
Episode 1000 Avg reward -61.93
Episode 1100 Avg reward -42.53
Episode 1200 Avg reward -37.95
Episode 1300 Avg reward -28.07
Episode 1400 Avg reward -24.81
Episode 1500 Avg reward -15.36
Episode 1600 Avg reward -13.96
Episode 1700 Avg reward -9.6
Episode 1800 Avg reward -4.44
Episode 1900 Avg reward -6.14
Episode 2000 Avg reward -3.08
Episode 2100 Avg reward -1.8
Episode 2200 Avg reward 0.09
Episode 2300 Avg reward 2.56
Episode 2400 Avg reward 2.5
Episode 2500 Avg reward 5.37
Episode 2600 Avg reward 4.88
Episode 2700 Avg reward 4.48
Episode 2800 Avg reward 5.88
Episode 2900 Avg reward 5.34
Episode 3000 Avg reward 6.43
Episode 3100 Avg reward 6.89
Episode 3200 Avg reward 7.28
Episode 3300 Avg reward 7.1
Episode 3400 Avg reward 6.66
Episode 3500 Avg reward 7.47
Episode 3600 Avg reward 7.38
Episode 3700 Avg reward 6.8
Episode 3800 Avg reward 7.34
Episode 3900 Avg reward 7.57
Episode 4000 Avg reward 7.29
Episode 4100 Avg reward 7.25
Episode 4200 Avg reward 7.72
Episode 4300 Avg reward 7.86
Episode 4400 Avg reward 7.91
Episode 4500 Avg reward 7.8
Episode 4600 Avg reward 8.1
Convergence completed in 7.89 seconds
Passenger Pick-up Location: Green
Drop-off Location: Red
