(dqn) (base) root@Abhishek:/home/RL/ass2/p3/p3.2# /root/anaconda3/envs/dqn/bin/python /home/RL/ass2/p2/SARSA_taxiv3.py
Episode 100 Avg reward -566.68
Episode 200 Avg reward -297.2
Episode 300 Avg reward -194.1
Episode 400 Avg reward -158.53
Episode 500 Avg reward -128.28
Episode 600 Avg reward -111.5
Episode 700 Avg reward -105.39
Episode 800 Avg reward -77.55
Episode 900 Avg reward -77.54
Episode 1000 Avg reward -56.94
Episode 1100 Avg reward -56.15
Episode 1200 Avg reward -42.21
Episode 1300 Avg reward -35.83
Episode 1400 Avg reward -23.94
Episode 1500 Avg reward -20.55
Episode 1600 Avg reward -15.52
Episode 1700 Avg reward -11.38
Episode 1800 Avg reward -9.42
Episode 1900 Avg reward -4.09
Episode 2000 Avg reward -1.61
Episode 2100 Avg reward -1.57
Episode 2200 Avg reward -1.68
Episode 2300 Avg reward 2.85
Episode 2400 Avg reward 3.27
Episode 2500 Avg reward 4.31
Episode 2600 Avg reward 5.04
Episode 2700 Avg reward 6.58
Episode 2800 Avg reward 5.52
Episode 2900 Avg reward 4.4
Episode 3000 Avg reward 5.47
Episode 3100 Avg reward 6.56
Episode 3200 Avg reward 6.49
Episode 3300 Avg reward 6.14
Episode 3400 Avg reward 7.13
Episode 3500 Avg reward 8.06
Convergence completed in 5.97 seconds
Passenger Pick-up Location: Green
Drop-off Location: Yellow
