2024-10-17 04:53:59,597 INFO    MainThread:285099 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_setup.py:_flush():77] Configure stats pid to 285099
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_setup.py:_flush():77] Loading settings from /root/.config/wandb/settings
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_setup.py:_flush():77] Loading settings from /home/RL/ass2/wandb/settings
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': 'offline', '_disable_service': None}
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'p3/p3.1/train.py', 'program_abspath': '/home/RL/ass2/p3/p3.1/train.py', 'program': '/home/RL/ass2/p3/p3.1/train.py'}
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_init.py:_log_setup():532] Logging user logs to /home/RL/ass2/wandb/offline-run-20241017_045359-7gnq0dgv/logs/debug.log
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_init.py:_log_setup():533] Logging internal logs to /home/RL/ass2/wandb/offline-run-20241017_045359-7gnq0dgv/logs/debug-internal.log
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_init.py:init():616] calling init triggers
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {}
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_init.py:init():666] starting backend
2024-10-17 04:53:59,598 INFO    MainThread:285099 [wandb_init.py:init():670] setting up manager
2024-10-17 04:53:59,600 INFO    MainThread:285099 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-17 04:53:59,601 INFO    MainThread:285099 [wandb_init.py:init():678] backend started and connected
2024-10-17 04:53:59,605 INFO    MainThread:285099 [wandb_init.py:init():773] updated telemetry
2024-10-17 04:53:59,606 INFO    MainThread:285099 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-10-17 04:53:59,697 INFO    MainThread:285099 [wandb_init.py:init():857] starting run threads in backend
2024-10-17 04:53:59,903 INFO    MainThread:285099 [wandb_run.py:_console_start():2459] atexit reg
2024-10-17 04:53:59,903 INFO    MainThread:285099 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-10-17 04:53:59,904 INFO    MainThread:285099 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-10-17 04:53:59,904 INFO    MainThread:285099 [wandb_run.py:_redirect():2397] Redirects installed.
2024-10-17 04:53:59,906 INFO    MainThread:285099 [wandb_init.py:init():900] run started, returning control to user process
2024-10-17 04:55:03,521 WARNING MsgRouterThr:285099 [router.py:message_loop():77] message_loop has been closed
